 Time,X,V
  0.0100, 10.0000,  0.1000
  0.0200,  9.9900,  0.1997
  0.0300,  9.9700,  0.2992
  0.0400,  9.9401,  0.3981
  0.0500,  9.9003,  0.4965
  0.0600,  9.8506,  0.5943
  0.0700,  9.7912,  0.6913
  0.0800,  9.7221,  0.7875
  0.0900,  9.6433,  0.8827
  0.1000,  9.5551,  0.9770
  0.1100,  9.4574,  1.0701
  0.1200,  9.3504,  1.1620
  0.1300,  9.2342,  1.2526
  0.1400,  9.1089,  1.3418
  0.1500,  8.9747,  1.4295
  0.1600,  8.8318,  1.5157
  0.1700,  8.6802,  1.6002
  0.1800,  8.5202,  1.6830
  0.1900,  8.3519,  1.7640
  0.2000,  8.1755,  1.8431
  0.2100,  7.9912,  1.9203
  0.2200,  7.7992,  1.9954
  0.2300,  7.5996,  2.0684
  0.2400,  7.3928,  2.1392
  0.2500,  7.1789,  2.2078
  0.2600,  6.9581,  2.2740
  0.2700,  6.7307,  2.3379
  0.2800,  6.4969,  2.3994
  0.2900,  6.2570,  2.4584
  0.3000,  6.0111,  2.5148
  0.3100,  5.7596,  2.5686
  0.3200,  5.5028,  2.6198
  0.3300,  5.2408,  2.6683
  0.3400,  4.9740,  2.7140
  0.3500,  4.7026,  2.7570
  0.3600,  4.4269,  2.7971
  0.3700,  4.1472,  2.8344
  0.3800,  3.8637,  2.8688
  0.3900,  3.5768,  2.9002
  0.4000,  3.2868,  2.9287
  0.4100,  2.9939,  2.9543
  0.4200,  2.6985,  2.9768
  0.4300,  2.4008,  2.9964
  0.4400,  2.1012,  3.0129
  0.4500,  1.7999,  3.0264
  0.4600,  1.4973,  3.0368
  0.4700,  1.1936,  3.0442
  0.4800,  0.8892,  3.0485
  0.4900,  0.5843,  3.0498
  0.5000,  0.2793,  3.0480
  0.5100, -0.0255,  3.0432
  0.5200, -0.3298,  3.0353
  0.5300, -0.6333,  3.0244
  0.5400, -0.9358,  3.0105
  0.5500, -1.2368,  2.9937
  0.5600, -1.5362,  2.9738
  0.5700, -1.8336,  2.9510
  0.5800, -2.1287,  2.9253
  0.5900, -2.4212,  2.8967
  0.6000, -2.7109,  2.8652
  0.6100, -2.9974,  2.8310
  0.6200, -3.2805,  2.7939
